,index,election_year,state_x,transaction_amt,totalspend_yr_st,spend_share,election_year_ds,party_simplified,candidatevotes,percentvote,writein_sum,totalvotes,writein_mean,won,region,battleground_bool,battleground_margin_avg_pct,shift_bool,shift_int,bellweather_bool,bellweather_pct,swing,democrat_lean_pct,percent_of_total_spend,spend_per_vote
436,436,2020,MI,3466760.73,3473315.71,99.81127601,11/1/20,DEMOCRAT,2804040,50.62081829,0,5539302,0,1,MIDWEST,FALSE,20,TRUE,1,TRUE,71.43,TRUE,14.29,1.92,123.6344963
437,437,2020,MI,6554.98,3473315.71,0.18872399,11/1/20,REPUBLICAN,2649852,47.83729069,0,5539302,0,0,MIDWEST,FALSE,20,TRUE,1,TRUE,71.43,TRUE,14.29,0.08,0.247371551
438,438,2020,MN,442760.91,510760.91,86.6865301,11/1/20,DEMOCRAT,1717077,52.39509931,0,3277171,0,1,MIDWEST,FALSE,20,FALSE,0,FALSE,50,FALSE,100,1.92,25.78573413
439,439,2020,MN,68000,510760.91,13.3134699,11/1/20,REPUBLICAN,1484065,45.28494241,0,3277171,0,0,MIDWEST,FALSE,20,FALSE,0,FALSE,50,FALSE,100,0.06,4.582009549
440,440,2020,MO,838675.53,843235.53,99.45922582,11/1/20,DEMOCRAT,1253014,41.40878174,0,3025962,0,0,MIDWEST,FALSE,20,TRUE,1,TRUE,71.43,TRUE,28.57,10.52,66.93265438
441,441,2020,MO,4560,843235.53,0.540774177,11/1/20,REPUBLICAN,1718736,56.79965578,0,3025962,0,1,MIDWEST,FALSE,20,TRUE,1,TRUE,71.43,TRUE,28.57,0.06,0.265311252
442,442,2020,MS,128549.09,129749.09,99.07513802,11/1/20,DEMOCRAT,539398,41.05760646,0,1313759,0,0,SOUTHEAST,FALSE,20,FALSE,0,FALSE,50,FALSE,0,10.52,23.83195525
443,443,2020,MS,1200,129749.09,0.924861978,11/1/20,OTHER,17597,1.339438969,0,1313759,0,0,SOUTHEAST,FALSE,20,FALSE,0,FALSE,50,FALSE,0,2.34,6.819344208
444,444,2020,MT,44429.53,44429.53,100,11/1/20,DEMOCRAT,244786,40.54936936,0,603674,0,0,ROCKY MOUNTAINS,FALSE,20,FALSE,1,FALSE,50,FALSE,14.29,10.52,18.15035582
445,445,2020,NC,79769.84,83821.26,95.16659616,11/1/20,DEMOCRAT,2684292,48.58621178,0,5524802,0,0,SOUTHEAST,TRUE,5.24,TRUE,2,FALSE,71.43,FALSE,14.29,10.52,2.971727368
446,446,2020,NC,4051.42,83821.26,4.833403841,11/1/20,REPUBLICAN,2758773,49.93433249,0,5524802,0,1,SOUTHEAST,TRUE,5.24,TRUE,2,FALSE,71.43,FALSE,14.29,0.06,0.146855867
447,447,2020,ND,39634.1,39634.1,100,11/1/20,DEMOCRAT,114902,31.75676236,0,361819,0,0,MIDWEST,FALSE,20,FALSE,0,FALSE,50,FALSE,0,10.52,34.49382952
448,448,2020,NE,19239351.84,19239351.84,100,11/1/20,DEMOCRAT,374583,39.16663094,0,956383,0,0,MIDWEST,FALSE,20,FALSE,0,FALSE,50,FALSE,0,2.12,5136.205284
449,449,2020,NH,453212.95,567138.98,79.91214958,11/1/20,DEMOCRAT,424921,52.70782528,0,806182,0,1,NORTHEAST,TRUE,4.19,TRUE,2,TRUE,71.43,FALSE,14.29,2.12,106.6581671
450,450,2020,NH,5000,567138.98,0.881618118,11/1/20,OTHER,15607,1.935915215,20,806182,0.952380952,0,NORTHEAST,TRUE,4.19,TRUE,2,TRUE,71.43,FALSE,14.29,2.34,32.03690653
